Id,Character,MeanLong,JlptLevel,Meaning,StrokeCount,Freq,AllRebs
31786,刊,Chặt. Như khan mộc [刊木] chặt cây.##Khắc. Như khan bản [刊本] khắc bản in.##Tước bỏ. Như danh luận bất khan [名論不刊] lời bàn hay không bao giờ bỏ được. $ Tục quen gọi là san,N2,"KHAN, SAN",5,855,カン
31787,勘,"So sánh, định lại. Như xét lại văn tự để sửa chỗ nhầm gọi là hiệu khám [校勘].##Tra hỏi tù tội. Như thẩm khám [審勘] xét lại cho tường tình tự trong án",N1,KHÁM,11,1494,カン
31789,丸,"Viên, phàm vật gì nhỏ mà tròn đều gọi là hoàn. Như đạn hoàn [彈丸] viên đạn.##Thẳng thắn. Như tùng bách hoàn toàn [松柏丸全] cây tùng cây bách thẳng thắn",N2,HOÀN,3,542,ガン | まる まる.い まる.める
31790,企,"Ngóng. Như vô nhâm kiều xí [無任翹企] mong ngóng khôn xiết, xí nghiệp [企業] mong ngóng cho thành nghề nghiệp, v.v",N1,XÍ,6,278,キ | くわだ.てる たくら.む
31791,伎,Tài. Như kĩ xảo [伎巧] tài khéo.##Con nhà nghề. Như kĩ nữ [伎女] con hát,N1,KĨ,6,0,キ ギ | わざ わざおぎ
31792,危,"Cao, ở nơi cao mà ghê sợ gọi là nguy.##Cái thế cao ngất như muốn đổ gọi là nguy. Như nguy lâu [危樓] lầu cao ngất, nguy tường [危牆] tường ngất.##Ngồi ngay thẳng không tựa vào cái gì gọi là chính khâm nguy tọa [正襟危坐].##Nguy, đối lại với chữ an [安]. Như nguy cấp [危急], nguy nan [危難], v.v.##Sao Nguy, một sao trong nhị thập bát tú",N3,NGUY,6,606,キ | あぶ.ない あや.うい あや.ぶむ
31793,亀,Con rùa; hình dạng giống con rùa.##Cưu Tư,tên một nước ở Tây VựcN1,"QUY, QUI",11,1353,キ キュウ キン | かめ
31794,偽,Như chữ ngụy [僞],N1,NGỤY,11,1171,カ ギ | いつわ.り いつわ.る にせ
31795,儀,"Dáng. Như uy nghi [威儀] có cái dáng nghiêm trang đáng sợ.##Làm mẫu, làm phép. Như nghi khí [儀器] đồ để cho người bắt chước.##Đồ lễ. Như hạ nghi [下儀] đồ lễ mừng",N1,NGHI,15,739,ギ
31796,却,Cũng như chữ tức [卽].##Giản thể của chữ [卻],N1,"KHƯỚC, TỨC",7,959,キャク | かえ.って しりぞ.く しりぞ.ける
31797,丘,"Cái gò, tức là đống đất nhỏ.##phép tỉnh điền ngày xưa chia bốn tỉnh là ấp, bốn ấp là khâu.##Hợp, ngày xưa gọi sách địa dư là cửu khâu [九丘] nghĩa là các thứ trong chín châu đều hợp cả ở đấy.##Nhớn, ngày xưa gọi chị dâu trưởng là khâu tẩu  [丘嫂].##Tên đức Khổng tử, vì thế sách nhà Hán đổi chữ [丘] làm [邱].##Một âm là khiêu. Như tỉ khiêu [比丘] dịch âm tiếng Phạn (bhikkhu); người tu hành đạo Phật đã chịu đủ 250 giới luật, lần lượt đến các nhà xin ăn, trên cầu tu cho thành Phật, dưới hóa độ cho chúng sinh",N1,"KHÂU, KHIÊU",5,1405,キュウ | おか
31798,久,"Lâu, nói thì giờ đã lâu. Như cửu mộ [久慕] mến đã lâu , cửu ngưỡng [久仰] kính đã lâu.##Đợi. Như quả quân dĩ vi minh chủ chi cố thị dĩ cửu tử [寡君以為盟主之故是以久子] tôi vì làm người chủ thể nên phải chờ đợi anh",N2,CỬU,3,688,キュウ ク | ひさ.しい
31800,休,"Tốt lành.##Nghỉ ngơi. Phép nhà Đường, các người làm quan cứ mười ngày được nghỉ một ngày gọi là tuần hưu [旬休].##Thôi nghỉ. Như bãi hưu [罷休] bãi về.##Về nghỉ. Làm quan già về nghỉ gọi là hưu trí [休致].##Cái tờ bỏ vợ gọi là hưu thư [休書]",N5,HƯU,6,642,キュウ | やす.まる やす.む やす.める
31801,亨,"Thông. Như thời vận hanh thông [時運亨通] thời vận thịnh đạt, trôi chảy.##Một âm là hưởng. Hưởng thụ. Như công dụng hưởng vu thiên tử [公用亨于天子] tước công được Thiên tử thết yến.##Lại một âm là phanh. Nấu nướng. Như đại phanh dĩ dưỡng thánh hiền [大亨以養聖賢] nấu nướng nhiều thứ để nuôi thánh hiền",N1,"HANH, HƯỞNG, PHANH",7,1952,キョウ コウ ホウ | とお.る
31802,享,"Dâng, đem đồ lễ lên dâng người trên hay đem cúng tế gọi là hưởng.##Thết đãi khách khứa cũng gọi là hưởng.##Hưởng thụ. Như hưởng phúc [享福] được hưởng thụ phúc trời",N1,HƯỞNG,8,1893,キョウ コウ | う.ける
31803,京,"To. Chỗ vua đóng đô gọi là kinh sư [京師] nghĩa là chỗ đất rộng mà nhiều người.##Đồng nghĩa với chữ nguyên [原]. Như cửu kinh [九京] bãi tha ma. Mồ mả quan nhà Tấn đều chôn ở Cửu kinh nên sau gọi bãi tha ma là cửu kinh, cũng như nói cửu nguyên [九原] vậy",N4,KINH,8,74,キョウ キン ケイ | みやこ
31804,供,"Bầy, đặt. Như cung trướng [供帳] bỏ màn sẵn cho người ngủ.##Vâng. Như cung chức [供職] vâng giữ chức việc mình.##Lời cung. Tra hỏi kẻ khác, kẻ khác xưng hết sự mình gọi là cung. Như khẩu cung [口供], thân cung [親供] v.v",N3,CUNG,8,313,キョウ ク グ クウ | そな.える とも -ども
31806,僑,Ở nhờ. Đi ở nhờ làng khác hay nước khác gọi là kiều cư [僑居],kiều dân [僑民].,KIỀU,14,2044,キョウ
31808,共,"Cùng, chung. Hai ông Chu Định Công [[周定公] và Triệu Mục Công [召穆公] cùng giúp vua Lệ Vương [厲王] nhà Chu Hư  trị nước, gọi là cộng hòa [共和], nghĩa là các quan cùng hòa với nhau mà làm việc. Vì thế nên bây giờ nước nào do dân cùng công cử quan lên để trị nước gọi là nước cộng hòa [共和].  Cộng, tính gộp cả các món lại làm một gọi là cộng.  Một âm là cung. Kính, cũng như chữ cung [恭].  Đủ. Như cung trương [共張] bầy đặt đủ hết mọi cái, thường dùng như chữ cung trướng [供帳]",N3,"CỘNG, CUNG",6,174,キョウ | とも -ども とも.に
31809,凶,"Ác. Nhưng hung bạo [凶暴] ác dữ.##Giết người. Như hung thủ [凶手] kẻ giết người, hung khí [凶器] đồ giết người.##Mất mùa. Như hung niên [凶年] năm mất mùa, đói kém.##Xấu, sự gì không tốt lành đều gọi là hung. Như hung tín [凶信] tin chẳng lành",N1,HUNG,4,1673,キョウ
31810,協,"Hòa hợp. Như đồng tâm hiệp lực [同心協力], hiệp thương [協商] cùng bàn để định lấy một phép nhất định.##Có ý nghĩa là giúp đỡ. Như lương thực của tỉnh khác đem đến giúp tỉnh mình gọi là hiệp hướng [協餉], giúp người chủ sự chi mọi việc gọi là hiệp lí [協理], v.v",N2,HIỆP,8,121,キョウ
31811,匡,Sửa cho chính lại. Như khuông cứu [匡救] cứu cho đi vào đường phải để khỏi lầm lỗi.##Giúp. Như khuông tương [匡襄] giúp rập.##Họ Khuông,N1,KHUÔNG,6,2176,オウ キョウ | すく.う
31812,仰,"Ngửa, ngửa mặt lên gọi là ngưỡng.##Kính mến. Như cửu ngưỡng đại danh [久仰大名] lâu nay kính mến cái danh lớn.##Lời kẻ trên sai kẻ dưới, trong từ trát nhà quan thường dùng.##Nhà Phật [佛] cho những kẻ kiếm ăn bằng nghề xem thiên văn là ngưỡng khẩu thực [仰口食].##Một âm là nhạng. Như nhạng trượng [仰仗] nhờ cậy",N1,"NGƯỠNG, NHẠNG",6,1573,ギョウ コウ | あお.ぐ お.っしゃる おお.せ おっしゃ.る
31813,凝,Đọng lại. Chất lỏng đọng lại gọi là ngưng,N1,NGƯNG,16,1712,ギョウ | こ.らす こ.る こご.らす こご.らせる こご.る
31814,僅,"Nừng, ít",chỉ có thế gọi là cận. Nguyễn Du [阮攸] : Sở đắc đồng tiền cận ngũ lục [所得銅錢僅五六] (Thái Bình mại ca giả [太平賣歌者]) Chỉ kiếm được chừng năm sáu đồng tiền.,CẬN,12,0,キン ゴン | わず.か
31815,勤,Siêng.##Ân cần [殷勤] tiếp đãi thân thiết tỏ ý hậu đãi. Cũng có khi dùng chữ ân cần [慇懃],N3,CẦN,12,830,キン ゴン | いそ.しむ つと.まる -づと.め つと.める
31816,九,"Chín, tên số đếm.##Một âm là cưu [九] họp. Luận ngữ [論語] : Hoàn Công cửu hợp chư hầu, bất dĩ binh xa, Quản Trọng chi lực dã [桓公九合諸侯，不以兵車，管仲之力也] (Hiến vấn [憲問]) Hoàn Công chín lần họp chư hầu mà không phải dùng võ lực, đó là tài sức của Quản Trọng. Cùng nghĩa với chữ củ [糾]",N5,"CỬU, CƯU",2,55,キュウ ク | ここの ここの.つ
31819,具,"Bày đủ. Như cụ thực [具食] bày biện đủ các đồ ăn.##Gọi là đủ số. Như cụ thần [具臣] gọi là dự số bầy tôi chứ chẳng có tài cán gì, cụ văn [具文] gọi là đủ câu đủ cách, chẳng có hay gì.##Đủ, hoàn bị, đủ cả.##Đồ. Như nông cụ [農具] đồ làm ruộng, ngọa cụ [臥具] đồ nằm, v.v.##Có tài năng gọi là tài cụ [才具]",N3,CỤ,8,629,グ | そな.える つぶさ.に
31820,偶,"Chợt. Như ngẫu nhiên [偶然] chợt vậy, không hẹn thế mà lại thế là ngẫu nhiên.##Đôi, là số chẵn, phàm số chẵn đều gọi là ngẫu. Như hai, bốn, sáu, v.v. là những số chẵn. Đối lại với cơ [奇] số lẻ.##Pho tượng. Như mộc ngẫu [木偶] tượng gỗ.##Bằng vai. Như phối ngẫu [配偶] sánh đôi.##Họ Ngẫu",N3,NGẪU,11,1602,グウ | たま
31821,串,"Suốt, một quan tiền gọi là nhất xuyến [一串], cái giấy biên thu tiền gọi là xuyến phiếu [串票].##Một âm là quán. Người cùng quen nhờn với mình gọi là thân quán [親串], cùng một nghĩa với chữ quán [慣]",cũng có khi đọc là xuyến.,"XUYẾN, QUÁN",7,2139,カン ケン セン | くし つらぬ.く
31822,勲,"Công. Có công thưởng cho một cái dấu hiệu để tiêu biểu sự vẻ vang gọi là huân chương [勲章] như cái mền-đay bây giờ. Ngày xưa dùng chữ [勛], nay cũng thông dụng",N1,HUÂN,15,1513,クン | いさお
31823,卦,"Quẻ, họ Phục Hy [伏羲] chế ba vạch (hào [爻]) là một quẻ. Hào lại chia ra hào âm hào dương, cùng phối hợp nhau thành tám quẻ",tính gấp lên thành 64 quẻ.,QUÁI,8,0,カ カイ ケ | うらかた
31824,係,"Buộc, cũng nghĩa như chữ hệ [繫].##Nhời nói giúp lời. Như ủy hệ [委係], nguyên ủy là xác hệ [確係] đích xác là",v.v.##Dị dạng của chữ 系N3,HỆ,9,232,ケイ | かか.る かか.わる かかり -がかり
31825,傾,Nghiêng. Như khuynh nhĩ nhi thính [傾耳而聽] nghiêng tai mà nghe.##Nghiêng đổ. Con gái đẹp gọi là khuynh thành [傾城] nghĩa là cái đẹp có thể làm nghiêng nước đổ thành vậy. Nguyễn Du [阮攸] : Uổng giao thiên cổ tội khuynh thành [枉敎千古罪傾城] (Dương Phi cố lý [楊妃故里]) Để nghìn năm đổ oan cho (người đẹp) tội nghiêng thành.##Đè úp. Như khuynh hãm [傾陷] dùng mưu kế hại người cũng như dùng vật gì để úp chết người vậy.##Dốc hết. Như khuynh nang [傾囊] dốc túi.##Kính phục người hết sức cũng gọi là khuynh đảo [傾倒] nghĩa là kính phục quá không còn dấu diếm gì trong lòng,N2,KHUYNH,13,938,ケイ | かし.げる かた.げる かたぶ.く かたむ.く かたむ.ける
31826,刑,"Hình phạt. Luật ngày xưa định xử tử lưu đồ trượng si [死流徒杖笞] là năm hình. Luật bây giờ chia ra hai thứ : về việc tiền của công nợ là dân sự phạm [民事犯], về việc trộm cướp đánh giết gọi là hình sự phạm [刑事犯].##Phép thường. Nay thông dụng dùng chữ hình [型]",N1,HÌNH,6,864,ケイ
31827,兄,Anh.##Cùng chơi với nhau cũng gọi là huynh. Như  nhân huynh [仁兄] anh bạn nhân đức (tiếng tôn xưng bạn),N4,HUYNH,5,1219,キョウ ケイ | あに
31828,劇,"Quá lắm. Như kịch liệt [劇烈] dữ quá, kịch đàm [劇談] bàn dữ, bệnh kịch [病劇] bệnh nặng lắm.##Trò đùa. Như diễn kịch [演劇] diễn trò",N2,KỊCH,15,662,ゲキ
31829,傑,Giỏi lạ. Trí khôn gấp mười người gọi là kiệt. Như hào kiệt chi sĩ [豪傑之士] kẻ sĩ hào kiệt. Nguyễn Trãi [阮廌] : Hào kiệt công danh thử địa tằng [豪傑功名此地曾] (Bạch Đằng hải khẩu [白藤海口]) Hào kiệt đã từng lập công danh ở đất này.##Phàm cái gì khác hẳn đều gọi là kiệt. Như kiệt xuất [傑出] nói người hay vật gì sinh ra khác hẳn mọi loài.##Dị dạng của chữ [杰],N1,KIỆT,13,1926,ケツ | すぐ.れる
31830,件,"Món đồ. Tục gọi một món đồ đựng trong một cái bồ hay cái sọt là một kiện [件]. Như bưu kiện [郵件] đồ vật gửi theo đường bưu điện.##Một vật, một việc. Như sự kiện [事件] việc xảy ra.##Phân biệt, phân biệt cái này cái khác",N3,KIỆN,6,212,ケン | くだん
31832,倦,Mỏi mệt. Nguyễn Du [阮攸] : Đồ trường tê quyện mã [途長嘶倦馬] (Hà Nam đạo trung khốc thử [河南道中酷暑]) Đường dài,ngựa mệt hí vang.,QUYỆN,11,0,ケン | あき.る あぐ.ねる あぐ.む う.む つか.れる
31833,健,"Khỏe. Như dũng kiện [勇健] khỏe mạnh, kiện mã [健馬] ngựa khỏe.##Khỏe khoắn. Như khang kiện [康健] sức vóc khỏe khoắn",N1,KIỆN,11,572,ケン | すこ.やか
